Game{name= Marvel Heroes 2015, platform= PC, developer= Gazillion, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Jun  4, 2014, positiveCritics= 9, neutralCritics= 1, negativeCritics= 0, positiveUsers= 173, neutralUsers= 21, negativeUsers= 26, metaScore= 81, userScore= 82}

Game{name= Child of Light, platform= VITA, developer= Ubisoft Montreal, genre= Role-Playing, numberPlayers= 2, rating= E10+, releaseDate= Jul  1, 2014, positiveCritics= 14, neutralCritics= 0, negativeCritics= 0, positiveUsers= 13, neutralUsers= 4, negativeUsers= 2, metaScore= 83, userScore= 79}

Game{name= Dark Souls II: Crown of the Sunken King, platform= PC, developer= Namco Bandai Games, genre= Role-Playing, numberPlayers= , rating= T, releaseDate= Jul 22, 2014, positiveCritics= 17, neutralCritics= 2, negativeCritics= 0, positiveUsers= 9, neutralUsers= 9, negativeUsers= 4, metaScore= 82, userScore= 74}

Game{name= Diablo III: Ultimate Evil Edition, platform= XONE, developer= Blizzard Entertainment, genre= Role-Playing, numberPlayers= Up to 4 , rating= M, releaseDate= Aug 19, 2014, positiveCritics= 17, neutralCritics= 1, negativeCritics= 0, positiveUsers= 41, neutralUsers= 6, negativeUsers= 3, metaScore= 86, userScore= 78}

Game{name= ArcheAge, platform= PC, developer= XLGAMES, genre= Role-Playing, numberPlayers= , rating= M, releaseDate= Sep 16, 2014, positiveCritics= 9, neutralCritics= 2, negativeCritics= 0, positiveUsers= 101, neutralUsers= 34, negativeUsers= 292, metaScore= 80, userScore= 37}

Game{name= Dark Souls II: Crown of the Ivory King, platform= PC, developer= Namco Bandai Games, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Sep 29, 2014, positiveCritics= 11, neutralCritics= 1, negativeCritics= 0, positiveUsers= 6, neutralUsers= 3, negativeUsers= 0, metaScore= 82, userScore= 78}

Game{name= Legend of Grimrock II, platform= PC, developer= Almost Human, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Oct 15, 2014, positiveCritics= 37, neutralCritics= 1, negativeCritics= 0, positiveUsers= 57, neutralUsers= 13, negativeUsers= 6, metaScore= 85, userScore= 81}

Game{name= Icewind Dale: Enhanced Edition, platform= PC, developer= Black Isle Studios, Beamdog, Overhaul Games, genre= Role-Playing, numberPlayers= , rating= , releaseDate= Oct 30, 2014, positiveCritics= 11, neutralCritics= 2, negativeCritics= 0, positiveUsers= 13, neutralUsers= 3, negativeUsers= 1, metaScore= 80, userScore= 73}

Game{name= World of Warcraft: Warlords of Draenor, platform= PC, developer= Blizzard Entertainment, genre= Role-Playing, numberPlayers= Massively Multiplayer, rating= T, releaseDate= Nov 13, 2014, positiveCritics= 47, neutralCritics= 2, negativeCritics= 0, positiveUsers= 158, neutralUsers= 42, negativeUsers= 192, metaScore= 87, userScore= 59}

Game{name= Pokemon Omega Ruby, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Nov 21, 2014, positiveCritics= 55, neutralCritics= 6, negativeCritics= 0, positiveUsers= 82, neutralUsers= 16, negativeUsers= 9, metaScore= 83, userScore= 87}

Game{name= Pokemon Alpha Sapphire, platform= 3DS, developer= Game Freak, genre= Role-Playing, numberPlayers= Up to 4 , rating= E, releaseDate= Nov 21, 2014, positiveCritics= 47, neutralCritics= 5, negativeCritics= 0, positiveUsers= 48, neutralUsers= 6, negativeUsers= 3, metaScore= 82, userScore= 88}

