Game{name= Bulletstorm, platform= PC, developer= Epic Games, People Can Fly, genre= General, numberPlayers= , rating= M, releaseDate= Feb 21, 2011, positiveCritics= 30, neutralCritics= 4, negativeCritics= 0, positiveUsers= 110, neutralUsers= 39, negativeUsers= 34, metaScore= 82, userScore= 77}

Game{name= Stardew Valley, platform= PC, developer= Eric Barone, ConcernedApe, genre= General, numberPlayers= No Online Multiplayer, rating= E10+, releaseDate= Feb 26, 2016, positiveCritics= 29, neutralCritics= 1, negativeCritics= 0, positiveUsers= 104, neutralUsers= 14, negativeUsers= 4, metaScore= 89, userScore= 87}

Game{name= Assault Android Cactus, platform= PS4, developer= Witch Beam, genre= General, numberPlayers= , rating= E10+, releaseDate= Mar  8, 2016, positiveCritics= 17, neutralCritics= 3, negativeCritics= 0, positiveUsers= 4, neutralUsers= 1, negativeUsers= 1, metaScore= 85, userScore= 65}

Game{name= Samorost 3, platform= PC, developer= Amanita Design, genre= General, numberPlayers= , rating= , releaseDate= Mar 24, 2016, positiveCritics= 23, neutralCritics= 6, negativeCritics= 0, positiveUsers= 13, neutralUsers= 2, negativeUsers= 2, metaScore= 80, userScore= 78}

Game{name= Invisible, Inc. Console Edition, platform= PS4, developer= Klei Entertainment, genre= General, numberPlayers= , rating= T, releaseDate= Apr 19, 2016, positiveCritics= 13, neutralCritics= 1, negativeCritics= 0, positiveUsers= 3, neutralUsers= 6, negativeUsers= 2, metaScore= 82, userScore= 69}

Game{name= 'Uncharted 4: A Thief''s End', platform= PS4, developer= Naughty Dog, genre= General, numberPlayers= Up to 10 , rating= T, releaseDate= May 10, 2016, positiveCritics= 111, neutralCritics= 1, negativeCritics= 1, positiveUsers= 1533, neutralUsers= 148, negativeUsers= 68, metaScore= 93, userScore= 84}

Game{name= Overwatch, platform= PC, developer= Blizzard Entertainment, genre= General, numberPlayers= Up to 12 , rating= T, releaseDate= May 23, 2016, positiveCritics= 62, neutralCritics= 2, negativeCritics= 0, positiveUsers= 519, neutralUsers= 218, negativeUsers= 400, metaScore= 91, userScore= 67}

Game{name= Tokyo Mirage Sessions #FE, platform= WIIU, developer= Atlus, genre= General, numberPlayers= No Online Multiplayer, rating= T, releaseDate= Jun 24, 2016, positiveCritics= 48, neutralCritics= 14, negativeCritics= 0, positiveUsers= 67, neutralUsers= 9, negativeUsers= 5, metaScore= 80, userScore= 79}

Game{name= Redout, platform= PC, developer= 34BigThings, genre= General, numberPlayers= Online Multiplayer, rating= E, releaseDate= Sep  2, 2016, positiveCritics= 16, neutralCritics= 3, negativeCritics= 0, positiveUsers= 35, neutralUsers= 7, negativeUsers= 6, metaScore= 81, userScore= 79}

Game{name= Battlefield 1, platform= PC, developer= EA DICE, genre= General, numberPlayers= , rating= M, releaseDate= Oct 21, 2016, positiveCritics= 52, neutralCritics= 2, negativeCritics= 0, positiveUsers= 164, neutralUsers= 86, negativeUsers= 156, metaScore= 88, userScore= 71}

Game{name= Torment: Tides of Numenera, platform= PC, developer= InXile Entertainment, genre= General, numberPlayers= No Online Multiplayer, rating= M, releaseDate= Feb 28, 2017, positiveCritics= 57, neutralCritics= 14, negativeCritics= 1, positiveUsers= 39, neutralUsers= 26, negativeUsers= 24, metaScore= 81, userScore= 70}

