Game{name= OlliOlli2: XL Edition, platform= XONE, developer= roll7, genre= Sports, numberPlayers= , rating= T, releaseDate= May 24, 2016, positiveCritics= 10, neutralCritics= 2, negativeCritics= 0, positiveUsers= 1, neutralUsers= 0, negativeUsers= 1, metaScore= 83, userScore= 58}

Game{name= VIDEOBALL, platform= PC, developer= Action Button Entertainment, genre= Sports, numberPlayers= , rating= , releaseDate= Jul 12, 2016, positiveCritics= 7, neutralCritics= 1, negativeCritics= 0, positiveUsers= 1, neutralUsers= 0, negativeUsers= 0, metaScore= 82, userScore= 73}

Game{name= Madden NFL 17, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= 2, rating= E, releaseDate= Aug 23, 2016, positiveCritics= 27, neutralCritics= 3, negativeCritics= 0, positiveUsers= 9, neutralUsers= 5, negativeUsers= 12, metaScore= 83, userScore= 54}

Game{name= Madden NFL 17, platform= PS4, developer= EA Sports, genre= Sports, numberPlayers= 2, rating= E, releaseDate= Aug 23, 2016, positiveCritics= 33, neutralCritics= 2, negativeCritics= 0, positiveUsers= 16, neutralUsers= 7, negativeUsers= 32, metaScore= 82, userScore= 44}

Game{name= Pro Evolution Soccer 2017, platform= XONE, developer= Konami, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 13, 2016, positiveCritics= 12, neutralCritics= 0, negativeCritics= 0, positiveUsers= 4, neutralUsers= 4, negativeUsers= 1, metaScore= 87, userScore= 58}

Game{name= Pro Evolution Soccer 2017, platform= PS4, developer= Konami, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 13, 2016, positiveCritics= 58, neutralCritics= 4, negativeCritics= 0, positiveUsers= 83, neutralUsers= 12, negativeUsers= 14, metaScore= 85, userScore= 73}

Game{name= NBA 2K17, platform= XONE, developer= Visual Concepts, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 16, 2016, positiveCritics= 16, neutralCritics= 1, negativeCritics= 0, positiveUsers= 14, neutralUsers= 9, negativeUsers= 14, metaScore= 90, userScore= 60}

Game{name= NBA 2K17, platform= PS4, developer= Visual Concepts, genre= Sports, numberPlayers= Up to 10 , rating= E, releaseDate= Sep 16, 2016, positiveCritics= 47, neutralCritics= 0, negativeCritics= 0, positiveUsers= 34, neutralUsers= 15, negativeUsers= 21, metaScore= 88, userScore= 64}

Game{name= FIFA 17, platform= PS4, developer= EA Sports, EA Vancouver, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 27, 2016, positiveCritics= 39, neutralCritics= 3, negativeCritics= 0, positiveUsers= 55, neutralUsers= 28, negativeUsers= 96, metaScore= 85, userScore= 48}

Game{name= FIFA 17, platform= XONE, developer= EA Sports, EA Vancouver, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 27, 2016, positiveCritics= 48, neutralCritics= 3, negativeCritics= 0, positiveUsers= 18, neutralUsers= 20, negativeUsers= 28, metaScore= 84, userScore= 51}

Game{name= FIFA 17, platform= PC, developer= EA Sports, EA Vancouver, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 27, 2016, positiveCritics= 11, neutralCritics= 1, negativeCritics= 0, positiveUsers= 7, neutralUsers= 6, negativeUsers= 49, metaScore= 84, userScore= 41}

Game{name= Football Manager 2017, platform= PC, developer= Sports Interactive, genre= Sports, numberPlayers= , rating= E, releaseDate= Nov  4, 2016, positiveCritics= 38, neutralCritics= 9, negativeCritics= 0, positiveUsers= 8, neutralUsers= 3, negativeUsers= 21, metaScore= 80, userScore= 52}

Game{name= MLB The Show 17, platform= PS4, developer= Sony Interactive Entertainment, genre= Sports, numberPlayers= Online Multiplayer, rating= E, releaseDate= Mar 28, 2017, positiveCritics= 42, neutralCritics= 3, negativeCritics= 0, positiveUsers= 23, neutralUsers= 3, negativeUsers= 8, metaScore= 85, userScore= 69}

Game{name= Madden NFL 18, platform= PS4, developer= Electronic Arts, genre= Sports, numberPlayers= Up to 6 , rating= E, releaseDate= Aug 22, 2017, positiveCritics= 34, neutralCritics= 6, negativeCritics= 0, positiveUsers= 11, neutralUsers= 8, negativeUsers= 39, metaScore= 82, userScore= 37}

Game{name= Madden NFL 18, platform= XONE, developer= EA Sports, genre= Sports, numberPlayers= Up to 6 , rating= E, releaseDate= Aug 22, 2017, positiveCritics= 17, neutralCritics= 5, negativeCritics= 0, positiveUsers= 4, neutralUsers= 2, negativeUsers= 4, metaScore= 82, userScore= 45}

Game{name= Pro Evolution Soccer 2018, platform= PS4, developer= Konami, genre= Sports, numberPlayers= Up to 6 , rating= E, releaseDate= Sep 12, 2017, positiveCritics= 50, neutralCritics= 3, negativeCritics= 0, positiveUsers= 42, neutralUsers= 11, negativeUsers= 18, metaScore= 83, userScore= 72}

Game{name= Pro Evolution Soccer 2018, platform= XONE, developer= Konami, genre= Sports, numberPlayers= , rating= E, releaseDate= Sep 12, 2017, positiveCritics= 11, neutralCritics= 0, negativeCritics= 0, positiveUsers= 3, neutralUsers= 3, negativeUsers= 1, metaScore= 82, userScore= 64}

Game{name= Pro Evolution Soccer 2018, platform= PC, developer= Konami, genre= Sports, numberPlayers= Online Multiplayer, rating= E, releaseDate= Sep 12, 2017, positiveCritics= 10, neutralCritics= 0, negativeCritics= 0, positiveUsers= 10, neutralUsers= 6, negativeUsers= 12, metaScore= 81, userScore= 70}

Game{name= NBA 2K18, platform= XONE, developer= 2K Games, genre= Sports, numberPlayers= Up to 10 , rating= E10+, releaseDate= Sep 15, 2017, positiveCritics= 14, neutralCritics= 2, negativeCritics= 0, positiveUsers= 2, neutralUsers= 5, negativeUsers= 44, metaScore= 85, userScore= 15}

Game{name= FIFA 18, platform= PS4, developer= EA Vancouver, genre= Sports, numberPlayers= Up to 22 , rating= E, releaseDate= Sep 26, 2017, positiveCritics= 60, neutralCritics= 8, negativeCritics= 0, positiveUsers= 43, neutralUsers= 28, negativeUsers= 183, metaScore= 84, userScore= 34}

